sku,GID,descriptionHtml,specs.width_mm,specs.length_mm,specs.height_mm,specs.weight_kg,specs.voltage,specs.wattage,specs.cooking_surface_mm,specs.energy_type,specs.construction,specs.usage_time,specs.temperature,specs.safety_features,specs.special_features,specs.accessories,specs.performance_rate,specs.service_warranty,specs.spareparts_warranty,specs.made_in,specs.certificates
ROL1-RF12DS,gid://shopify/Product/8645521637575,<p>Modular high power fryers 2 x 8 L and 12 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>Cleaning:</p><ul><li>removable control box</li><li>stamped and lightly tilted tank in one piece meant for easy oil draining</li><li>Safe draining with stainless steel tap and lever system</li></ul><p>Features (fryers):</p><ul><li>thermostat-commutator 180°C</li><li>high power heating element hold by 2 stainless steel flanges in each tank</li><li>pilot lights</li><li>basket with heat-resistant handle</li><li>stainless steel lid.</li></ul>,,,,,,230V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Double fryer,2 Baskets,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RF12S1P,gid://shopify/Product/8646051856583,<p>Modular high power fryers 2 x 8 L and 12 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>Cleaning:</p><ul><li>removable control box</li><li>stamped and lightly tilted tank in one piece meant for easy oil draining</li><li>Safe draining with stainless steel tap and lever system</li></ul><p>Features (fryers):</p><ul><li>thermostat-commutator 180°C</li><li>high power heating element hold by 2 stainless steel flanges in each tank</li><li>pilot lights</li><li>basket with heat-resistant handle</li><li>stainless steel lid.</li></ul>,,,,,,230V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Single fryer,Basket,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RF12S2P,gid://shopify/Product/8645526126791,<p>Modular high power fryers 2 x 8 L and 12 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>Cleaning:</p><ul><li>removable control box</li><li>stamped and lightly tilted tank in one piece meant for easy oil draining</li><li>Safe draining with stainless steel tap and lever system</li></ul><p>Features (fryers):</p><ul><li>thermostat-commutator 180°C</li><li>high power heating element hold by 2 stainless steel flanges in each tank</li><li>pilot lights</li><li>basket with heat-resistant handle</li><li>stainless steel lid.</li></ul>,,,,,,230V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Single fryer,Basket,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RF5DS,gid://shopify/Product/8645877563591,<p>Table top fryers in all stainless steel 5 & 8 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>Fryers with double tank 2 x 5 L till 2 x 8 L with independent control and same specifications as single models.</p><p>Cleaning: 5 removable parts and dishwasher-safe stainless-steel tank.</p><p>Features:</p><ul><li>precise bulb thermostat 180°C</li><li>safety thermostat</li><li>microswitch</li><li>pilot light</li><li>basket with heat-resistant handle</li><li>stainless steel lid</li></ul>,400,400,270,9 kg,2x3.2 kW,230V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Double fryer,2 Baskets,16 kg/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RF5S,gid://shopify/Product/8646051889351,<p>Table top fryers in all stainless steel 5 & 8 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>Fryers with double tank 2 x 5 L till 2 x 8 L with independent control and same specifications as single models.</p><p>Cleaning: 5 removable parts and dishwasher-safe stainless-steel tank.</p><p>Features:</p><ul><li>precise bulb thermostat 180°C</li><li>safety thermostat</li><li>microswitch</li><li>pilot light</li><li>basket with heat-resistant handle</li><li>stainless steel lid</li></ul>,220,400,270,5 kg,3.2 kW,230V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Single fryer,Basket,8 kg/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RF8DS,gid://shopify/Product/8645877596359,<p>Table top fryers in all stainless steel 5 & 8 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>Fryers with double tank 2 x 5 L till 2 x 8 L with independent control and same specifications as single models.</p><p>Cleaning: 5 removable parts and dishwasher-safe stainless-steel tank.</p><p>Features:</p><ul><li>precise bulb thermostat 180°C</li><li>safety thermostat</li><li>microswitch</li><li>pilot light</li><li>basket with heat-resistant handle</li><li>stainless steel lid</li></ul>,570,400,270,12 kg,2x3.4 kW,230V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Double fryer,2 Baskets,24 kg/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RF8S,gid://shopify/Product/8646051954887,<p>Table top fryers in all stainless steel 5 & 8 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>Fryers with double tank 2 x 5 L till 2 x 8 L with independent control and same specifications as single models.</p><p>Cleaning: 5 removable parts and dishwasher-safe stainless-steel tank.</p><p>Features:</p><ul><li>precise bulb thermostat 180°C</li><li>safety thermostat</li><li>microswitch</li><li>pilot light</li><li>basket with heat-resistant handle</li><li>stainless steel lid</li></ul>,310,400,270,7 kg,3.4 kW,230V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Single fryer,Basket,12 kg/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RFE12,gid://shopify/Product/8646051987655,<p>Modular high power fryers 2 x 8 L and 12 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>Cleaning:</p><ul><li>removable control box. stamped</li><li>lightly tilted tank in one piece meant for easy oil draining</li><li>Safe draining with stainless steel tap and lever system.</li></ul><p>Features (fryers):</p><ul><li>thermostat-commutator 180°C</li><li>high power heating element hold by 2 stainless steel flanges in each tank</li><li>pilot lights</li><li>basket with heat-resistant handle</li><li>stainless steel lid.</li></ul>,400,600,470,25 kg,9 kW,380V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Professional,Basket,16 kg/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RFE16C,gid://shopify/Product/8645502632135,<p>High power deep-fat fryers on cabinet for fast-foods and restaurants with high output.</p><ul><li>RFE 16 C - 1 tank: oil and energy consumption perfectly controlled.</li><li>RFE 20 C - 2 tanks: independent control of both tanks.</li></ul><p>Cleaning:</p><ul><li>removable control box and filtering bulb-protection</li><li>Draining with high flow tap in the cabinet.</li></ul><p>Features:</p><ul><li>thermostat-commutator 180°C</li><li>double safety and stainless steel with positive cut off</li><li>high power heating elements hold with stainless steel flanges</li><li>Reset of safety thermostat in the cabinet</li><li>Adjustable stainless steel feet till 150 mm (CE - UL/NSF).</li></ul><p>Option: 2 small baskets for RFE 16 C.</p>,400,700,980,34 kg,12 kW,380V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,High capacity,Basket,25 kg/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RFE20C,gid://shopify/Product/8645502664903,<p>High power deep-fat fryers on cabinet for fast-foods and restaurants with high output.</p><ul><li>RFE 16 C - 1 tank: oil and energy consumption perfectly controlled.</li><li>RFE 20 C - 2 tanks: independent control of both tanks.</li></ul><p>Cleaning:</p><ul><li>removable control box and filtering bulb-protection</li><li>Draining with high flow tap in the cabinet.</li></ul><p>Features:</p><ul><li>thermostat-commutator 180°C</li><li>double safety and stainless steel with positive cut off</li><li>high power heating elements hold with stainless steel flanges</li><li>Reset of safety thermostat in the cabinet</li><li>Adjustable stainless steel feet till 150 mm (CE - UL/NSF).</li></ul><p>Option: 2 small baskets for RFE 16 C.</p>,400,700,980,38 kg,12 kW,380V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Double tank,2 Baskets,30 kg/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RFE8D,gid://shopify/Product/8646052020423,<p>Modular high power fryers 2 x 8 L and 12 L with cold zone.</p><p>Reset of safety thermostat in the back in case of overheating or lack of oil.</p><p>Cleaning:</p><ul><li>removable control box</li><li>stamped and lightly tilted tank in one piece meant for easy oil draining</li><li>Safe draining with stainless steel tap and lever system</li></ul><p>Features (fryers):</p><ul><li>thermostat-commutator 180°C</li><li>high power heating element hold by 2 stainless steel flanges in each tank</li><li>pilot lights</li><li>basket with heat-resistant handle</li><li>stainless steel lid.</li></ul>,400,600,470,30 kg,2x4.5 kW,380V,,Electric,Stainless steel,Continuous,180°C,Safety thermostat,Double tank,2 Baskets,24 kg/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RFG16,gid://shopify/Product/8646052053191,"<p>A unique range of gas fryers with the smallest gas fryer in the world (RFG 8), ideal for foodtrucks, markets and point of sales with a limited electric consumption.</p><ul><li>Piezo lighting and pilot burner.</li><li>Back pipe for gas exit.</li><li>Filtering basket holder for big fried rests or for the frying of doughnuts or large pieces without any basket.</li></ul><p>Cleaning:</p><ul><li>stainless steel safety draining device</li><li>Stamped and slightly tilted tank without any oil residue</li><li>Exclusive removal system of burners in case of technical intervention</li></ul><p>Cleaning RFG16:</p><ul><li>draining with high flow tap in the cabinet</li><li>Direct technical access by simply removing the front panel.</li></ul><p>Features:</p><ul><li>Piezo lighting</li><li>regulation knob</li><li>high power burner under the tank</li><li>insulated stainless steel tank with oil level mini/maxi</li><li>stainless steel lid</li><li>Supplied in LPG with a set of NG injectors.</li></ul><p>Features RFG16:</p><ul><li>Piezo lighting</li><li>regulation knob</li><li>high power burner under the tank</li><li>insulated stainless steel tank with oil level mini/maxi</li><li>double magnetic closing door</li><li>draining bucket</li><li>stainless steel lid</li><li>Ajustable stainless-steel feet till 150 mm (CE - UL/NSF)</li><li>Supplied in LPG with a set of NG injectors.</li></ul>",400,600,105,38 kg,12 kW,,,Gas,Stainless steel,Continuous,Variable,Thermocouple,High capacity,Basket,30 kg/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RFG16-C,gid://shopify/Product/8646052085959,"<p>A unique range of gas fryers with the smallest gas fryer in the world (RFG 8), ideal for foodtrucks, markets and point of sales with a limited electric consumption.</p><ul><li>Piezo lighting and pilot burner.</li><li>Back pipe for gas exit.</li><li>Filtering basket holder for big fried rests or for the frying of doughnuts or large pieces without any basket.</li></ul><p>Cleaning:</p><ul><li>stainless steel safety draining device</li><li>Stamped and slightly tilted tank without any oil residue</li><li>Exclusive removal system of burners in case of technical intervention</li></ul><p>Cleaning RFG16:</p><ul><li>draining with high flow tap in the cabinet</li><li>Direct technical access by simply removing the front panel.</li></ul><p>Features:</p><ul><li>Piezo lighting</li><li>regulation knob</li><li>high power burner under the tank</li><li>insulated stainless steel tank with oil level mini/maxi</li><li>stainless steel lid</li><li>Supplied in LPG with a set of NG injectors.</li></ul><p>Features RFG16:</p><ul><li>Piezo lighting</li><li>regulation knob</li><li>high power burner under the tank</li><li>insulated stainless steel tank with oil level mini/maxi</li><li>double magnetic closing door</li><li>draining bucket</li><li>stainless steel lid</li><li>Ajustable stainless-steel feet till 150 mm (CE - UL/NSF)</li><li>Supplied in LPG with a set of NG injectors.</li></ul>",400,600,105,38 kg,12 kW,,,Gas,Stainless steel,Continuous,Variable,Thermocouple,High capacity,Basket,30 kg/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RFG8,gid://shopify/Product/8645502763207,"<p>A unique range of gas fryers with the smallest gas fryer in the world (RFG 8), ideal for foodtrucks, markets and point of sales with a limited electric consumption.</p><ul><li>Piezo lighting and pilot burner.</li><li>Back pipe for gas exit.</li><li>Filtering basket holder for big fried rests or for the frying of doughnuts or large pieces without any basket.</li></ul><p>Cleaning:</p><ul><li>stainless steel safety draining device</li><li>Stamped and slightly tilted tank without any oil residue</li><li>Exclusive removal system of burners in case of technical intervention</li></ul><p>Cleaning RFG16:</p><ul><li>draining with high flow tap in the cabinet</li><li>Direct technical access by simply removing the front panel.</li></ul><p>Features:</p><ul><li>Piezo lighting</li><li>regulation knob</li><li>high power burner under the tank</li><li>insulated stainless steel tank with oil level mini/maxi</li><li>stainless steel lid</li><li>Supplied in LPG with a set of NG injectors.</li></ul><p>Features RFG16:</p><ul><li>Piezo lighting</li><li>regulation knob</li><li>high power burner under the tank</li><li>insulated stainless steel tank with oil level mini/maxi</li><li>double magnetic closing door</li><li>draining bucket</li><li>stainless steel lid</li><li>Ajustable stainless-steel feet till 150 mm (CE - UL/NSF)</li><li>Supplied in LPG with a set of NG injectors.</li></ul>",250,700,325,25 kg,4 kW,,,Gas,Stainless steel,Continuous,Variable,Thermocouple,Compact,Basket,13 kg/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RG11,gid://shopify/Product/8645509284039,"<p>Roller grills to reheat precooked sausages.</p><ul><li>Keep warm up to 20 precooked sausages, 96 hot-dogs/h!</li><li>Cleaning: removable juice tray.</li><li>RG 9, RG 11 and RG 14 with independent control of 2 heating zones.</li></ul><p>Features:</p><ul><li>switch on/off</li><li>power control</li><li>pilot light</li><li>high-powered motor.</li></ul><p>Option:</p><ul><li>protection H01077SE (580 x 450 x 250 mm) for every RG Roller Grill</li></ul>",545,460,240,20 kg,1.4 kW,230V,,Electric,Stainless steel,Continuous,Variable,,Rolling grill,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RG7,gid://shopify/Product/8645509218503,"<p>Roller grills to reheat precooked sausages.</p><ul><li>Keep warm up to 20 precooked sausages, 96 hot-dogs/h!</li><li>Cleaning: removable juice tray.</li><li>RG 9, RG 11 and RG 14 with independent control of 2 heating zones.</li></ul><p>Features:</p><ul><li>switch on/off</li><li>power control</li><li>pilot light</li><li>high-powered motor.</li></ul><p>Option:</p><ul><li>protection H01077SE (580 x 450 x 250 mm) for every RG Roller Grill</li></ul>",545,320,240,14 kg,0.9 kW,230V,,Electric,Stainless steel,Continuous,Variable,,Rolling grill,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-RG9,gid://shopify/Product/8645509251271,"<p>Roller grills to reheat precooked sausages.</p><ul><li>Keep warm up to 20 precooked sausages, 96 hot-dogs/h!</li><li>Cleaning: removable juice tray.</li><li>RG 9, RG 11 and RG 14 with independent control of 2 heating zones.</li></ul><p>Features:</p><ul><li>switch on/off</li><li>power control</li><li>pilot light</li><li>high-powered motor.</li></ul><p>Option:</p><ul><li>protection H01077SE (580 x 450 x 250 mm) for every RG Roller Grill</li></ul>",545,460,240,19 kg,1.1 kW,230V,,Electric,Stainless steel,Continuous,Variable,,Rolling grill,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-SAVOYE-L,gid://shopify/Product/8645509316807,<ul><li>Preheating = 15 min.</li><li>Even cooking thanks to spiral heating element.</li><li>Adjusted cooking: self-balanced upper plate and adjustable pressure spring.</li></ul><p>Cleaning: dishwasher-safe juice tray and stainless steel scraper for cast-iron plates.</p><p>Features:</p><ul><li>commutator-thermostat (0-300°C)</li><li>robust stainless steel handle</li><li>pilot lights.</li></ul>,280,460,280,19 kg,2 kW,230V,260x240,Electric,Cast iron,Continuous,300°C,Thermostat,Smooth plate,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-SAVOYE-R,gid://shopify/Product/8646052118727,<ul><li>Preheating = 15 min.</li><li>Even cooking thanks to spiral heating element.</li><li>Adjusted cooking: self-balanced upper plate and adjustable pressure spring.</li></ul><p>Cleaning: dishwasher-safe juice tray and stainless steel scraper for cast-iron plates.</p><p>Features:</p><ul><li>commutator-thermostat (0-300°C)</li><li>robust stainless steel handle</li><li>pilot lights.</li></ul>,280,460,280,19 kg,2 kW,230V,260x240,Electric,Cast iron,Continuous,300°C,Thermostat,Ribbed plate,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-SAVOYE-RB,gid://shopify/Product/8646052151495,<p>Preheating = 15 min.</p><p>Even cooking thanks to spiral heating element.</p><p>Adjusted cooking: self-balanced upper plate and adjustable pressure spring.</p><p>Cleaning: dishwasher-safe juice tray and stainless steel scraper for cast-iron plates.</p><p>Features:</p><ul><li>commutator-thermostat (0-300°C)</li><li>robust stainless steel handle</li><li>pilot lights.</li></ul>,280,460,280,19 kg,2 kW,230V,260x240,Electric,Cast iron,Continuous,300°C,Thermostat,Double ribbed,Scraper,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-SEM600PDS,gid://shopify/Product/8646052184263,<p>Smart vitroceramic salamanders with plate detection system for a use in rush period.</p><ul><li>400°C in 5 s and 570°C on the glass ceramic plate!</li><li>Instant heat up through contact with the stainless-steel bar.</li><li>Instant heat-up and cooking + 35% energy saving.</li><li>Regulation of vitroceramic plate thanks to power control:<ul><li>position mini = to keep warm;</li><li>position maxi = to brown.</li></ul></li><li>Various and precise cooking.</li><li>Independent control of heating zones thanks to commutator.</li></ul><p>Flexibility and energy control.</p>,1250,400,265,35kg,145W,230V,,Electric,Stainless steel,Continuous,2°C/+8°C,,,Electronic thermostat,Not specified,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-SEM600Q-220,gid://shopify/Product/8646052217031,"<p>Salamanders with mobile top to defrost, glaze, brown or grill toasts, gratins, meals just before the service.</p><ul><li>Precise adjustment of the top thanks to the counterweight system of the salamander.</li><li>Independent heating zones.</li><li>Completely open on 3 sides for every size of plates and GN tray</li></ul><p>Working height</p><ul><li>mini = 90 mm.</li><li>maxi = 245 mm.</li></ul>",600,640,590,49 kg,3 kW,230V,495x375,Electric,Stainless steel,Variable,570°C,Double control,Quartz salamander,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-SGM600,gid://shopify/Product/8645507154119,"<p>Salamanders with mobile top to defrost, glaze, brown or grill toasts, gratins, meals just before the service.</p><ul><li>Precise adjustment of the top thanks to the counterweight system of the salamander.</li><li>Independent heating zones.</li><li>Completely open on 3 sides for every size of plates and GN tray</li></ul><p>Working height</p><ul><li>mini = 90 mm.</li><li>maxi = 245 mm.</li></ul>",600,640,590,53 kg,5 kW,,495x375,Gas,Stainless steel,Continuous,Variable,Thermocouple,Gas salamander,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-TS1270,gid://shopify/Product/8645507186887,"<p>GN salamanders toasters with infrared quartz tubes: rays of 1050°C.</p><p>Instant cooking at core without smoke or smell.</p><p>Cooking in quantities: GN 1/1 in TS 1270 and 2 x GN 1/1 in TS 3270.</p><p>To cook, brown, glaze, grill, toast or melt every kind of meals.</p><p>TS 3270: closing top part with a tray and handles for fast service.</p><p>Cleaning: dishwasher-safe crumb tray.</p><p>Features :</p><ul><li>quartz tubes selector</li><li>timer 15 min with lock position for non-stop use</li><li>pilot lights</li><li>grids with heatresistant handles</li><li>Patented protection grids for quartz tubes</li><li>Delivered with no GN tray</li></ul>",640,450,345,13 kg,2.6 kW,230V,520x320,Electric,Stainless steel,Variable,Variable,Protection grids,Salamander,,200 toasts/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-TS3270,gid://shopify/Product/8645502697671,"<p>GN salamanders toasters with infrared quartz tubes: rays of 1050°C.</p><p>Instant cooking at core without smoke or smell.</p><p>Cooking in quantities: GN 1/1 in TS 1270 and 2 x GN 1/1 in TS 3270.</p><p>To cook, brown, glaze, grill, toast or melt every kind of meals.</p><p>TS 3270: closing top part with a tray and handles for fast service.</p><p>Cleaning: dishwasher-safe crumb tray.</p><p>Features :</p><ul><li>quartz tubes selector</li><li>timer 15 min with lock position for non-stop use</li><li>pilot lights</li><li>grids with heatresistant handles</li><li>Patented protection grids for quartz tubes</li><li>Delivered with no GN tray</li></ul>",640,450,480,19 kg,4 kW,380V,520x320,Electric,Stainless steel,Variable,Variable,Protection grids,Double salamander,,400 toasts/h,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-WD100,gid://shopify/Product/8645521670343,"<p>Panoramic counter top heated displays GN 1/1 for quiches, pizzas, pies, croissants etc.</p><p>Heat regulation 20°C to 90°C.</p><p>Humidity control to keep products moist.</p><p>Front and rear openings thanks to liftable doors.</p><p>Cleaning: removable stainless-steel bottom plate and glass shelf.</p><p>Features:</p><ul><li>thermostat (20-90°C)</li><li>water tray</li><li>on/off switch</li><li>pilot lights</li><li>adjustable feet</li><li>Delivered with no GN tray</li></ul>",590,350,285,12 kg,0.65 kW,230V,,Electric,Glass/steel,Continuous,2090°C,Double glazing,Humidity control,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-WD200,gid://shopify/Product/8645521768647,"<p>Panoramic counter top heated displays GN 1/1 for quiches, pizzas, pies, croissants etc.</p><p>Heat regulation 20°C to 90°C.</p><p>Humidity control to keep products moist.</p><p>Front and rear openings thanks to liftable doors.</p><p>Cleaning: removable stainless-steel bottom plate and glass shelf.</p><p>Features:</p><ul><li>thermostat (20-90°C)</li><li>water tray</li><li>on/off switch</li><li>pilot lights</li><li>adjustable feet</li><li>Delivered with no GN tray</li></ul>",590,350,390,15 kg,0.65 kW,230V,,Electric,Glass/steel,Continuous,2090°C,Double glazing,Humidity control,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-WD200I,gid://shopify/Product/8646052249799,"<ul><li>Panoramic counter top heated displays GN 1/1 for quiches, pizzas, pies, croissants etc.</li><li>Heat regulation 20°C to 90°C.</li><li>Humidity control to keep products moist.</li><li>Front and rear openings thanks to liftable doors.</li></ul><p>Cleaning: removable stainless-steel bottom plate and glass shelf.</p><p>Features:</p><ul><li>thermostat (20-90°C)</li><li>water tray</li><li>on/off switch</li><li>pilot lights</li><li>adjustable feet</li><li>Delivered with no GN tray</li></ul>",590,350,390,15 kg,0.65 kW,230V,,Electric,Glass/steel,Continuous,2090°C,Double glazing,Inox version,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-WD780DI,gid://shopify/Product/8646052282567,"<p>Features:</p><ul><li>electronic thermostat (20-90°C)</li><li>water container</li><li>on/off switch, switch for ventilation</li><li>2 or 3 grids</li><li>Flat opening doors</li><li>Delivered with no GN tray</li></ul><p>Option: self-service display with slanted grids upon request.</p>",800,645,140,48 kg,1.8 kW,230V,,Electric,Stainless steel,Continuous,2090°C,Electronic control,Double cabinet,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-WD780DN,gid://shopify/Product/8646052315335,"<p>Features:</p><ul><li>electronic thermostat (20-90°C)</li><li>water container</li><li>on/off switch, switch for ventilation</li><li>2 or 3 grids</li><li>Flat opening doors</li><li>Delivered with no GN tray</li></ul><p>Option: self-service display with slanted grids upon request.</p>",800,645,140,48 kg,1.8 kW,230V,,Electric,Black finish,Continuous,2090°C,Electronic control,Double cabinet,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-WD780SI,gid://shopify/Product/8645509415111,"<p>Features:</p><ul><li>electronic thermostat (20-90°C)</li><li>water container</li><li>on/off switch, switch for ventilation</li><li>2 or 3 grids</li><li>Flat opening doors</li><li>Delivered with no GN tray</li></ul><p>Option: self-service display with slanted grids upon request.</p>",785,680,735,36 kg,1.2 kW,230V,,Electric,Stainless steel,Continuous,2090°C,Electronic control,Single cabinet,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-WDL100,gid://shopify/Product/8646052348103,"<p>Panoramic counter top heated displays GN 1/1 for quiches, pizzas, pies, croissants etc.</p><p>Heat regulation 20°C to 90°C.</p><p>Humidity control to keep products moist.</p><p>Front and rear openings thanks to liftable doors.</p><p>Cleaning: removable stainless-steel bottom plate and glass shelf.</p><p>Features:</p><ul><li>thermostat (20-90°C)</li><li>water tray</li><li>on/off switch</li><li>pilot lights</li><li>adjustable feet</li><li>Delivered with no GN tray.</li></ul>",590,350,375,15 kg,0.65 kW,230V,,Electric,Glass/steel,Continuous,2090°C,Double glazing,With light,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-WDL200,gid://shopify/Product/8646052380871,"<p>Panoramic counter top heated displays GN 1/1 for quiches, pizzas, pies, croissants etc.</p><p>Heat regulation 20°C to 90°C.</p><p>Humidity control to keep products moist.</p><p>Front and rear openings thanks to liftable doors.</p><p>Cleaning: removable stainless-steel bottom plate and glass shelf.</p><p>Features:</p><ul><li>thermostat (20-90°C)</li><li>water tray</li><li>on/off switch</li><li>pilot lights</li><li>adjustable feet</li><li>Delivered with no GN tray.</li></ul>",590,350,480,18 kg,0.65 kW,230V,,Electric,Glass/steel,Continuous,2090°C,Double glazing,With light,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-WDL200I,gid://shopify/Product/8646052413639,"<p>Panoramic counter top heated displays GN 1/1 for quiches, pizzas, pies, croissants etc.</p><p>Heat regulation 20°C to 90°C.</p><p>Humidity control to keep products moist.</p><p>Front and rear openings thanks to liftable doors.</p><p>Cleaning: removable stainless-steel bottom plate and glass shelf.</p><p>Features:</p><ul><li>thermostat (20-90°C)</li><li>water tray</li><li>on/off switch</li><li>pilot lights</li><li>adjustable feet</li><li>Delivered with no GN tray.</li></ul>",590,350,480,18 kg,0.65 kW,230V,,Electric,Stainless steel,Continuous,2090°C,Double glazing,With light,,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-WI-1,gid://shopify/Product/8645509447879,"<p>Dry chocolate/sauce warmer to reheat and melt chocolate, hazzelnut topping, honey, caramel ... for desserts, and also sauces, cheese… for savoury snacking.</p><p>Preheating at 75°C during 15 min. Keep warm at 40°C.</p><p>Hygienic, economic and precise topping thanks to the squeeze bottle with 3 exits.</p><p>Features:</p><ul><li>heat regulation</li><li>heating element around the round stainless steel container</li><li>removable display support</li><li>Supplied with 2 squeeze bottles (Ø 85mm, H: 250 mm).</li></ul>",225,330,272,2 kg,170 W,230V,,Electric,Stainless steel,Continuous,75°C max,Thermostat,3 containers,2 bottles,,1 Year,1 Year,France,"CE, UL/NSF"
ROL1-WI-DP,gid://shopify/Product/8645509480647,"<p>Dry chocolate/sauce warmer to reheat and melt chocolate, hazzelnut topping, honey, caramel ... for desserts, and also sauces, cheese… for savoury snacking.</p><p>Preheating at 75°C during 15 min. Keep warm at 40°C.</p><p>Hygienic, economic and precise topping thanks to the squeeze bottle with 3 exits.</p><p>Features:</p><ul><li>heat regulation</li><li>heating element around the round stainless steel container</li><li>removable display support</li><li>Supplied with 2 squeeze bottles (Ø 85mm, H: 250 mm).</li></ul>",225,175,220,2 kg,170 W,230V,,Electric,Stainless steel,Continuous,75°C max,Thermostat,Builtin,2 bottles,,1 Year,1 Year,France,"CE, UL/NSF"
